,package,description,category
2248,,"['peça', 'direto', 'pelo', 'celular', 'e', 'receba', 'seu', 'pedido', 'conforto', 'da', 'sua', 'casa', 'praça', 'de', 'alimentação', 'que', 'foi', 'para', 'internet', 'chega', 'agora', 'na', 'palma', 'da', 'sua', 'mão', 'novo', 'aplicativo', 'alakarte', 'varias', 'opções', 'de', 'restaurantes', 'servindo', 'o', 'mais', 'diversos', 'pratos', 'bebidas', 'e', 'sobremesas', 'que', 'atendem', 'todos', 'o', 'gostos', 'como', 'pedir', 'fazer', 'um', 'pedido', 'nunca', 'foi', 'tão', 'fácil', 'basta', 'seguir', 'passos', 'informe', 'seu', 'cep', 'escolha', 'seu', 'restaurante', 'e', 'prato', 'preferido', 'escolha', 'melhor', 'forma', 'de', 'pagamento', 'receba', 'seu', 'pedido', 'conforto', 'da', 'sua', 'casa']",Food & dining
2368,,"['welcome', 'pizza', 'hut', 'microsoft', 'window', 'built', 'around', 'experience', 'enjoy', 'extensive', 'menu', 'explore', 'daily', 'special', 'order', 'popular', 'item', 'tap', 'check', 'see', 'pizza', 'hut', 'absolute', 'best', 'way', 'order', 'expanded', 'menu', 'offer', 'specialty', 'pizza', 'tuscani', 'pasta', 'wingstreet', 'wing', 'drink', 'side', 'dessert', 'limited', 'time', 'offer', 'guest', 'checkout', 'allows', 'order', 'without', 'signing', 'popular', 'item', 'section', 'provides', 'quick', 'easy', 'access', 'pizza', 'hut', 'favorite', 'special', 'section', 'provides', 'update', 'product', 'deal', 'checking', 'easier', 'ever', 'allowing', 'add', 'credit', 'card', 'option', 'without', 'creating', 'account', 'helpful', 'tip', 'ordering', 'functionality', 'u.s.', 'resident', 'key', 'ordering', 'functionality', 'accessed', 'operating', 'hour', 'local', 'store', 'question', 'comment', 'u', 'link', 'application', 'bar']",Food & dining
2598,,"['version', 'removed', 'winetag', 'bar', 'code', 'qr', 'code', 'improved', 'image', 'recognition', 'system', 'minor', 'bug', 'fix', 'content', 'may', 'available', 'english', 'winetag', 'brazilian', 'social', 'network', 'review', 'wine', 'follow', 'specialist', 'read', 'tip', 'article', 'food', 'wine', 'importantly', 'read', 'review', 'comment', 'thousand', 'user', 'wine', 'label', 'winetag', 'allows', 'access', 'content', 'wherever', 'work', 'personal', 'sommelier', 'helping', 'choose', 'perfect', 'wine', 'occasion', 'shopping', 'also', 'list', 'best', 'restaurant', 'near', 'brazil', 'let', 'browse', 'wine', 'list', 'menu', 'providing', 'information', 'perfect', 'meal']",Food & dining
2649,,"['ever', 'wondered', 'quick', 'easy', 'way', 'maintain', 'personal', 'diary', 'recipe', 'choice', 'kitchen', 'diary', 'help', 'take', 'note', 'recipe', 'setup', 'weekly', 'meal', 'plan', 'prepare', 'grocery', 'list', 'keep', 'kitchen', 'tip', 'handy', 'case', 'right', 'kitchen', 'diary', 'allows', 'enter', 'recipe', 'easily', 'using', 'auto-complete', 'box', 'ingredient', 'tag', 'categorize', 'recipe', 'save', 'favourite', 'recipe', 'share', 'recipe', 'family', 'friend', 'export', 'pdf', 'print', 'kitchen', 'diary', 'help', 'plan', 'meal', 'using', 'meal', 'plan', 'calendar', 'let', 'every', 'member', 'family', 'know', 'look', 'kitchen', 'diary', 'help', 'create', 'grocery', 'list', 'along', 'store', 'check', 'item', 'shopping', 'kitchen', 'diary', 'help', 'keep', 'kitchen', 'tip', 'handy', 'kitchen', 'diary', 'help', 'backup', 'restore', 'recipe', 'data']",Food & dining
2692,,"['meal', 'prep', 'company', 'twisted', 'food', 'creates', 'custom', 'meal', 'plan', 'ship', 'united', 'state', 'meal', 'plan', 'customized', 'amount', 'meal', 'goal', 'weight', 'loss', 'bodybuilding', 'gluten', 'etc.', 'come', 'see', 'u', 'jonesboro', 'arkansas', 'location', 'dine', 'order', 'menu', 'enjoy', 'daily', 'special', 'pick', 'many', 'freshly', 'prepared', 'ready-to-take-home', 'meal', 'snack']",Food & dining
2807,,"['lekker', 'eten', 'bestellen', 'en', 'laten', 'thuisbezorgen', 'via', 'de', 'de', 'eten', 'en', 'eten', 'selecteer', 'uw', 'restaurant', 'ky', 'uw', 'favoriete', 'gerecht', 'reken', 'af', 'met', 'ideal', 'en', 'laat', 'de', 'maaltijd', 'thuisbezorgen']",Food & dining
3212,,"['cook', 'ca', 'decide', 'application', 'give', 'advice', 'eat', 'prepare', 'lunch', 'dinner', 'upgrade', '-new', 'graphic', '-new', 'combination', 'given', 'user', 'update', '-minor', 'bug', 'fix', 'update', '-various', 'minor', 'update', 'update', '-you', 'advise', 'u', 'dish', 'update', '-added', 'tile', 'selection', '-fixed', 'bug', 'update', '-improved', 'graphical', 'aspect', '-improved', 'recommendation', '-possibility', 'excluding', 'recommendation', 'fish', 'and\\or', 'meat']",Food & dining
3920,,"['shopping', 'list', 'help', 'people', 'plan', 'manage', 'grocery', 'shopping', 'shopping', 'list', 'stay', 'everywhere', 'go', ""'ll"", 'on-hand', ""'re"", 'ready', 'go', 'grocery', 'shopping', 'multiple', 'shopping', 'list', 'save', 'time', 'grouping', 'item', 'category', 'easily', 'enter', 'item', 'shopping', 'list', 'share', 'list', 'text', 'shopping', 'list', 'optimized', 'smartphones', 'tablet', 'desktop', 'add', 'product', 'photo', 'item', 'shopping', 'list', 'always', 'buy', 'right', 'brand']",Food & dining
3969,,"['po', 'small', 'medium', 'restaurant', 'sale', 'stock', 'graph', 'printing', 'ip', 'esc/pos', 'multi', 'store', 'multi', 'pos´', 'per', 'store', 'marketing', 'action']",Food & dining
4138,,"['developed', 'nguyen', 'duy', 'phuong', 'vietcookbook', 'vietnamese', 'application', 'application', 'targeted', 'language', 'english.the', 'primary', 'content', 'application', 'vietnamese', 'include', 'vietnamese', 'dish', 'category', 'show', 'ingredient', 'method', 'dish', 'share', 'facebook', 'sm', 'include', 'choose', 'category', 'dish', 'seach', 'name', 'dish', 'add', 'favorite', 'share', 'facebook', 'sm', 'hold', 'item', 'favorite', 'list', 'delete', 'copyright', 'duy', 'phuong', 'nguyen', 'duy', 'phuong', 'hcmc', 'open', 'university', 'microsoft', 'student', 'partner', 'duyphuong13', 'hotmail.com', 'là', 'ứng', 'dụng', 'chứa', 'món', 'ăn', 'phổ', 'biến', 'của', 'việt', 'nam', 'hiển', 'thị', 'nguyên', 'liệu', 'cách', 'chế', 'biến', 'và', 'có', 'thể', 'chia', 'sẻ', 'qua', 'facebook', 'sm']",Food & dining
